UPM,NVIVI,NHOGA,RONDA,LINEA,P02,P03,P04,P06,ED01,ED02,ED03,AÑOESTU,ED05,ED06,ED07,A01,A01A,A02,A03,A04,A05,A06,A08,A09,A10,A11,A12,RECA13,RECA14,A15,A16,A18,RECB01,RECB02,B04,B05,B06,B07A,B07M,B08,B10,B11,B12,B13,B14A,B14B,B15,B22,B23,RECC01,RECC02,C05,C07,C09A,C09B,C09C,C10,C11,D01,D02,D03,D04,E01A,E01B,E01C,E01D,E01E,E01F,E01G,E01GC,E01H,E01I,E01J,E01K,E01T,PEAA,PEAD,HORABH,TIPOHOGA,INGBC,EDAD_QUIN,FEX,trimestre,year
1,1,1,1,1,1,1,6,5,3,1,1,16,20, ,19,6,3,1, , , , , , , , , , , , , , ,1,2,1, , ,5,0,10,1,2,9999999999,6, , ,6,1,6, , , , , , , , , ,6, , ,6,9999999999,0,0,0,0,0,0, ,0,0,9999999999,0,9999999999,1,1,38,4,9999999999,7,632,1,2010
1,1,1,1,2,3,1,1,5,3,1,1,5,2,1, ,6,3,6,6,6,6, , ,7,6,4,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,4, ,3,474,1,2010
1,1,1,1,3,9,1,6,5,3,1,1,12,17,2, ,1, ,6,6,6,6, , ,7,6,4,1,5,5,2,2,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,500000,0, ,0,0,0,0,500000,3,3, ,4, ,4,477,1,2010
1,12,1,1,1,1,1,1,2,3,1,1,12,20, ,2,6,2,1, , , , , , , , , , , , , , ,3,8,1, , ,25,0,5,1,2,1275022,1,0,1408864,1,1,6, , , , , , , , , ,6, , ,6,2863886,0,0,0,0,0,0, ,0,0,0,300000,3163886,1,1,41,4,2863886,9,573,1,2010
1,12,1,1,2,2,1,6,2,3,1,1,15,20, ,15,1, ,1, , , , , , , , , , , , , , ,3,6,1, , ,2,9,8,6,1,1400000,1,0,1400000,6,3,6, , , , , , , , , ,6, , ,6,2800000,0,0,0,0,0,0, ,0,0,0,0,2800000,1,1,30,4,2800000,9,707,1,2010
1,12,1,1,3,4,1,1,5,3,1,1,15,17,1, ,6,2,1, , , , , , , , , , , , , , ,3,2,1, , ,1,6,10,6,2,1408864,1,0,1408864,6,2,6, , , , , , , , , ,6, , ,6,2867728,0,0,0,0,0,0, ,0,0,0,0,2867728,1,1,45,4,2867728,5,481,1,2010
1,12,1,1,4,4,1,1,5,3,1,1,10,4,1, ,6,2,6,6,1, ,1,1, ,1, ,1,5,8,2,10,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,2,2, ,4, ,4,506,1,2010
1,12,1,1,5,4,1,6,5,3,1,1,7,2,1, ,6,2,6,6,6,6, , ,6,6,3,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,4, ,3,518,1,2010
1,12,1,1,6,4,1,1,5,3,1,1,5,2,1, ,6,2,6,6,6,6, , ,7,6,4,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,4, ,3,474,1,2010
1,12,1,1,7,8,1,1,4,3,1,1,6, , , ,6,2,6,6,6,6, , ,12,6,6,1,1,2,1,10,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,500000,0, ,0,0,0,0,500000,3,3, ,4, ,13,271,1,2010
1,20,1,1,1,1,1,1,1,3,1,1,12, , , ,6,2,6,6,1, ,3,1, ,1, ,1,3,8,3,2,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,2,2, ,2, ,13,398,1,2010
1,20,1,1,2,2,1,6,1,3,1,1,15, , , ,1, ,6,1, , , , , , , , , , , , , ,4,8,3,8,30,20,0,7,1,1,1764000,6, , ,6,1,1,1,8,20,1,672000,0,0,1,0,6, , ,6,1764000,672000,0,0,0,0,0, ,0,0,0,0,2436000,1,1,30,2,2436000,13,387,1,2010
1,20,1,1,3,3,1,1,5,3,1,1,13,20, ,2,6,2,1, , , , , , , , , , , , , , ,5,8,3,8,30,5,0,7,1,1,1512000,6, , ,6,1,6, , , , , , , , , ,6, , ,1,1512000,0,0,0,0,0,0, ,0,0,0,0,1512000,1,1,30,2,1512000,6,447,1,2010
1,21,1,1,1,1,1,6,4,2,1,1,9, , , ,1, ,1, , , , , , , , , , , , , , ,5,5,1, , ,2,0,1,6,4, , , , , , ,6, , , , , , , , , ,6, , ,6,80000,0,0,0,0,0,0, ,0,4000000,0,0,4080000,1,1,14,4,80000,13,485,1,2010
1,21,1,1,2,3,1,6,3,3,1,1,9,20, ,17,6,1,6,6,6,6, , ,6,6,3,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,528000,0,528000,3,3, ,4, ,9,707,1,2010
1,21,1,1,3,5,1,1,5,3,1,1,4,2,1, ,6,1,6,6,6,6, , ,7,6,4,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,4, ,3,474,1,2010
1,21,1,1,4,5,1,6,5,3,1,1,0,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,2,590,1,2010
1,21,1,1,5,5,1,6,5,3,1,1,7,2,2, ,6,1,6,6,6,6, , ,7,6,4,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,1000000,0, ,0,0,0,0,1000000,3,3, ,4, ,3,518,1,2010
1,29,1,1,1,1,1,1,5,2,1,1,12, , , ,1, ,6,6,6,6, , ,14,6,10,1,1,7,2,4,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,4100000,0,0,0,4100000,3,3, ,4, ,12,517,1,2010
1,29,1,1,2,7,1,6,4,2,6,1,6, , , ,6,1,6,6,6,6, , ,12,6,6,1,7,2,4,1,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,1300000,0,0,1300000,3,3, ,4, ,13,411,1,2010
1,29,1,1,3,9,1,1,3,2,1,1,9, , , ,6,1,6,6,6,6, , ,11,6,5,1,3,8,4,1,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,4, ,13,398,1,2010
1,29,1,1,4,9,1,6,5,2,1,1,11, , , ,6,1,1, , , , , , , , , , , , , , ,4,7,1, , ,25,0,3,6,2,1400000,6, , ,6,3,6, , , , , , , , , ,6, , ,6,1600000,0,0,0,0,0,0, ,0,0,0,0,1600000,1,1,45,4,1600000,12,469,1,2010
1,29,1,1,5,9,1,1,5,3,1,1,11,3,1, ,6,1,1, , , , , , , , , , , , , , ,4,7,1, , ,2,0,3,6,2,400000,6, , ,6,3,6, , , , , , , , , ,1,1,6,6,400000,0,0,0,0,0,0, ,0,0,0,0,400000,1,1,28,4,400000,4,506,1,2010
1,34,1,1,1,1,1,1,2,1,1,6,0, , , ,1, ,1, , , , , , , , , , , , , , ,1,5,1, , ,50,0,1,6,4, , , , , , ,6, , , , , , , , , ,6, , ,1,1300000,0,0,0,0,0,100000,1,0,0,0,0,1400000,1,1,78,2,1300000,13,398,1,2010
1,34,1,1,2,2,1,6,2,2,1,1,6, , , ,6,1,6,6,6,6, , ,6,6,3,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,2, ,11,436,1,2010
1,34,1,1,3,3,1,1,5,2,1,1,12,20, ,2,6,1,1, , , , , , , , , , , , , , ,4,8,1, , ,1,9,8,1,1,1275022,6, , ,6,1,6, , , , , , , , , ,6, , ,1,1275022,0,0,0,0,0,0, ,0,0,0,0,1275022,1,1,30,2,1275022,6,447,1,2010
1,43,1,1,1,1,1,1,1,3,1,1,14, , , ,1, ,1, , , , , , , , , , , , , , ,2,7,1, , ,34,0,2,6,3, , , , , , ,1,2,8, ,6,4000000,0,0,2,0,1,11,6,6,4000000,4000000,0,0,0,0,0, ,0,0,0,0,8000000,1,1,67,2,8000000,12,517,1,2010
1,43,1,1,2,2,1,6,1,3,1,1,16,20, ,1,6,1,1, , , , , , , , , , , , , , ,1,7,1, , ,10,0,1,6,2,2400000,1,0,2400000,6,2,6, , , , , , , , , ,2,2,6,6,4800000,0,0,0,0,0,0, ,0,0,0,0,4800000,1,1,36,2,4800000,11,436,1,2010
1,70,1,1,1,1,1,1,1,1,1,1,6, , , ,6,2,1, , , , , , , , , , , , , , ,8,2,1, , ,13,0,8,1,2,1493250,1,0,2500000,6,1,6, , , , , , , , , ,6, , ,6,4193250,0,0,0,0,0,0, ,0,0,0,0,4193250,1,1,76,4,4193250,11,428,1,2010
1,70,1,1,2,2,1,6,1,2,1,1,6,20, ,16,1, ,6,6,6,6, , ,6,6,3,1,9,8,6,9,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,4, ,10,497,1,2010
1,70,1,1,3,3,1,1,5,2,1,1,8,2,2, ,6,2,6,6,6,6, , ,7,6,4,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,4, ,3,474,1,2010
1,70,1,1,4,9,1,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,1,744,1,2010
2,27,1,1,1,1,1,1,1,3,1,1,18,20, ,16,6,3,1, , , , , , , , , , , , , , ,2,8,1, , ,15,0,8,1,1,4000000,6, , ,6,1,1,2,8, ,1,4000000,0,0,1,1,6, , ,6,4000000,4000000,9999999999,0,0,0,0, ,0,0,0,0,9999999999,1,1,48,2,8000000,10,595,1,2010
2,27,1,1,2,2,1,6,1,3,1,1,16,20, ,16,6,3,1, , , , , , , , , , , , , , ,1,2,1, , ,14,0,1,6,4, , , , , , ,6, , , , , , , , , ,6, , ,6,4000000,0,0,0,0,0,0, ,0,0,0,0,4000000,1,1,64,2,4000000,9,830,1,2010
2,27,1,1,3,3,1,1,5,3,1,1,14,17,2, ,1, ,6,6,1, ,7,1, ,1, ,1,4,6,2,2,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,2,2, ,2, ,5,565,1,2010
2,27,1,1,4,3,1,1,5,3,1,1,7,2,2, ,6,3,6,6,6,6, , ,7,6,4,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,2, ,3,557,1,2010
2,46,1,1,1,1,1,1,2,3,1,1,12,20, ,17,1, ,1, , , , , , , , , , , , , , ,7,5,1, , ,5,0,10,1,2,9999999999,1,999999999,0,6,1,6, , , , , , , , , ,6, , ,1,9999999999,0,0,0,0,0,0, ,0,0,0,0,9999999999,1,1,62,2,9999999999,6,525,1,2010
2,46,1,1,2,2,1,6,2,3,1,1,13,17,1, ,6,1,1, , , , , , , , , , , , , , ,9,5,1, , ,3,0,1,6,4, , , , , , ,6, , , , , , , , , ,6, , ,6,9999999999,0,0,0,0,0,0, ,0,0,0,0,9999999999,1,1,58,2,9999999999,5,596,1,2010
2,46,1,1,3,3,1,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,1,874,1,2010
2,47,1,1,1,1,1,1,4,3,1,1,12, , , ,1, ,1, , , , , , , , , , , , , , ,5,5,1, , ,10,0,2,6,5, , , , , , ,6, , , , , , , , , ,6, , ,6,0,0,0,0,0,0,0, ,1223000,0,0,0,1223000,1,1,50,4,0,13,319,1,2010
2,47,1,1,2,3,1,6,5,3,1,1,18, , , ,1, ,1, , , , , , , , , , , , , , ,5,5,1, , ,26,0,2,1,2,1275022,6, , ,6,4,6, , , , , , , , , ,6, , ,1,1355022,0,0,0,0,0,0, ,0,0,0,0,1355022,1,1,40,4,1355022,11,512,1,2010
2,47,1,1,3,3,1,6,5,3,1,1,12,20, ,1,1, ,1, , , , , , , , , , , , , , ,1,5,1, , ,14,0,2,6,4, , , , , , ,6, , , , , , , , , ,6, , ,6,700000,0,0,0,0,0,0, ,0,0,0,0,700000,1,1,53,4,700000,9,830,1,2010
2,47,1,1,4,3,1,6,6,3,1,1,14, , , ,1, ,1, , , , , , , , , , , , , , ,7,2,1, , ,15,0,1,6,4, , , , , , ,6, , , , , , , , , ,1,11,6,1,0,0,0,0,0,0,0, ,0,0,0,0,0,1,1,66,4,0,11,512,1,2010
2,47,1,1,5,5,1,1,5,3,1,1,12,17,2, ,6,4,6,6,1, ,3,1, ,1, ,1,9,5,2,5,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,2,2, ,4, ,4,594,1,2010
2,47,1,1,6,5,1,1,5,3,1,1,8,2,2, ,6,4,6,6,6,6, , ,7,6,4,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,4, ,3,557,1,2010
2,47,1,1,7,5,1,6,5,3,1,1,6,2,2, ,6,4,6,6,6,6, , ,7,6,4,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,4, ,3,608,1,2010
2,60,1,1,1,1,1,1,1,3,1,1,12,20, ,2,1, ,1, , , , , , , , , , , , , , ,1,5,1, , ,10,0,2,6,3, , , , , , ,1,1,5, ,6, , , , ,0,6, , ,6,0,2500000,0,0,0,0,0, ,0,0,0,0,2500000,1,1,48,2,2500000,10,595,1,2010
2,60,1,1,2,2,1,6,1,3,1,1,9,20, ,2,6,1,1, , , , , , , , , , , , , , ,1,5,1, , ,6,0,2,6,3, , , , , , ,6, , , , , , , , , ,6, , ,6,2500000,0,0,0,0,0,0, ,0,0,0,0,2500000,1,1,35,2,2500000,10,583,1,2010
2,60,1,1,3,3,1,6,5,3,1,1,15,17,2, ,6,1,6,6,6,6, , ,7,6,4,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,2, ,5,596,1,2010
2,60,1,1,4,3,1,1,5,3,1,1,10,3,2, ,6,1,6,6,6,6, , ,7,6,4,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,2, ,4,594,1,2010
2,72,1,1,1,1,1,6,5,3,1,1,18, , , ,1, ,1, , , , , , , , , , , , , , ,3,8,1, , ,4,9,8,1,1,4000000,6, , ,6,1,6, , , , , , , , , ,1,11,6,6,4000000,0,0,0,0,0,0, ,0,0,0,0,4000000,1,1,30,5,4000000,11,512,1,2010
2,72,1,1,2,3,1,6,5,3,1,1,12,17,1, ,6,1,1, , , , , , , , , , , , , , ,4,5,1, , ,0,2,2,1,2,1629000,6, , ,6,2,6, , , , , , , , , ,6, , ,6,1629000,0,0,0,0,0,0, ,0,0,0,0,1629000,1,1,34,5,1629000,4,560,1,2010
2,72,1,1,3,10,1,6,6,3,1,1,16,20, ,2,6,1,6,6,1, ,1,1, ,1, ,1,3,7,2,4,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,3000000,3000000,2,2, ,5, ,10,583,1,2010
2,74,1,1,1,1,1,6,5,3,1,1,11,20, ,17,1, ,1, , , , , , , , , , , , , , ,1,8,1, , ,14,0,3,6,3, , , , , , ,6, , , , , , , , , ,6, , ,1,0,0,0,0,0,0,0, ,0,0,500000,0,500000,1,1,80,3,0,7,742,1,2010
2,74,1,1,2,3,1,1,5,3,1,1,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,664,1,2010
2,74,1,1,3,3,1,1,5,3,6,1,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,664,1,2010
2,79,1,1,1,1,1,1,1,3,1,1,14,17,2, ,1, ,1, , , , , , , , , , , , , , ,3,8,1, , ,7,0,8,1,1,2200000,1,520000,0,1,1,1,4,5, ,6,1500000,0,0,1,0,6, , ,6,3080000,1500000,0,0,0,0,0, ,0,0,0,0,4580000,1,1,44,2,4580000,9,673,1,2010
2,79,1,1,2,2,1,6,1,3,1,1,14,20, ,16,6,1,6,6,6,6, , ,6,6,3,1,3,7,2,10,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,2, ,8,750,1,2010
2,79,1,1,3,3,1,1,5,3,1,1,8,2,2, ,6,1,6,6,6,6, , ,7,1, ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,2, ,3,557,1,2010
2,79,1,1,4,3,1,6,5,3,1,1,3,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2,693,1,2010
3,18,1,1,1,1,1,1,1,3,1,1,6, , , ,6,3,1, , , , , , , , , , , , , , ,8,6,1, , ,37,0,10,6,4, , , , , , ,6, , , , , , , , , ,6, , ,6,0,0,0,0,0,0,0, ,0,0,0,0,0,1,1,84,4,0,12,956,1,2010
3,18,1,1,2,3,1,6,2,3,1,1,16,17,2, ,6,3,6,6,1, ,1,1, ,1, ,1,4,7,2,10,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,1000000,4,0,0,0,0,1000000,2,2, ,4, ,5,939,1,2010
3,18,1,1,3,3,1,1,5,3,1,1,11,3,1, ,1, ,6,6,6,6, , ,9,1, ,1,5,5,2,2,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,4, ,4,936,1,2010
3,18,1,1,4,9,1,1,5,3,1,1,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,2,1047,1,2010
3,27,1,1,1,1,1,6,2,2,1,1,4,20, ,1,1, ,1, , , , , , , , , , , , , , ,5,5,1, , ,7,0,1,6,4, , , , , , ,6, , , , , , , , , ,1,5,6,6,750000,0,0,0,0,500000,0, ,0,0,0,0,1250000,1,1,118,4,750000,10,919,1,2010
3,27,1,1,2,2,1,1,2,2,1,1,6, , , ,6,1,1, , , , , , , , , , , , , , ,8,2,1, , ,5,0,3,6,2,900000,6, , ,6,3,6, , , , , , , , , ,6, , ,6,900000,0,0,0,0,0,0, ,0,0,0,0,900000,1,5,70,4,900000,13,865,1,2010
3,27,1,1,3,3,1,6,5,3,1,1,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,2,1092,1,2010
3,27,1,1,4,9,1,1,5,2,1,1,8,2,1, ,6,1,6,6,6,6, , ,7,6,4,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,4, ,3,877,1,2010
3,27,1,1,5,9,1,6,5,2,1,1,1,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,2,1092,1,2010
3,27,1,1,6,9,1,1,2,2,1,1,9,20, ,1,6,1,1, , , , , , , , , , , , , , ,7,5,1, , ,2,0,1,6,4, , , , , , ,6, , , , , , , , , ,6, , ,6,500000,0,0,0,0,0,0, ,0,0,0,0,500000,1,1,45,4,500000,5,890,1,2010
3,27,1,1,7,9,1,6,1,2,1,1,9,20, ,1,6,1,1, , , , , , , , , , , , , , ,9,7,1, , ,0,9,10,6,2,750000,1,100000,0,6,3,6, , , , , , , , , ,6, , ,6,850000,0,0,0,0,500000,0, ,0,0,0,0,1350000,1,5,45,4,850000,5,939,1,2010
3,27,1,1,8,9,1,6,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,1,1254,1,2010
3,32,1,1,1,1,1,1,2,2,1,1,12,20, ,2,1, ,1, , , , , , , , , , , , , , ,3,8,1, , ,3,0,8,6,1,1380000,1,240000,0,6,1,6, , , , , , , , , ,3,6,6,1,1820000,0,0,0,0,0,0, ,0,0,0,0,1820000,1,1,48,4,1820000,10,938,1,2010
3,32,1,1,2,2,1,6,2,2,1,1,4,20, ,1,1, ,6,6,6,6, , ,6,1, ,1,5,5,4,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,4, ,8,1183,1,2010
3,32,1,1,3,7,1,1,5,1,1,1,2, , , ,1, ,6,6,6,6, , ,11,6,5,1,9,2,2,8,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,4, ,13,502,1,2010
3,39,1,1,1,1,1,6,5,2,1,1,6,20, ,1,1, ,1, , , , , , , , , , , , , , ,7,2,1, , ,9,0,1,6,4, , , , , , ,6, , , , , , , , , ,1,12,6,6,180000,0,0,0,0,0,0, ,0,0,0,0,180000,1,1,6,3,180000,6,945,1,2010
3,39,1,1,2,3,1,6,5,2,1,1,6,2,1, ,6,1,6,6,6,6, , ,5,6,2,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,3, ,3,958,1,2010
3,39,1,1,3,3,1,1,5,2,1,1,3,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,1047,1,2010
